Time,Timestamp,BatteryLevel,BatteryPercent,WirelessSignal,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,,Overall Quality
1722050305.9643,2024-07-26 20:18:25.964,4,100,1.0,4,4,4,4,4,100
1722050306.4643,2024-07-26 20:18:26.464,4,100,1.0,4,4,4,4,4,100
1722050306.9643,2024-07-26 20:18:26.964,4,100,1.0,4,4,4,4,4,100
1722050307.4799,2024-07-26 20:18:27.479,4,100,1.0,4,4,4,4,4,100
1722050307.9799,2024-07-26 20:18:27.979,4,100,1.0,4,4,4,4,4,100
1722050308.4799,2024-07-26 20:18:28.479,4,100,1.0,4,4,4,4,4,100
1722050308.9799,2024-07-26 20:18:28.979,4,100,1.0,4,4,4,4,4,100
1722050309.4799,2024-07-26 20:18:29.479,4,100,1.0,4,4,4,4,4,100
1722050309.9799,2024-07-26 20:18:29.979,4,100,1.0,4,4,4,4,4,100
1722050310.4799,2024-07-26 20:18:30.479,4,100,1.0,4,4,4,4,4,100
1722050310.9799,2024-07-26 20:18:30.979,4,100,1.0,4,4,4,4,4,100
1722050311.4799,2024-07-26 20:18:31.479,4,100,1.0,4,4,4,4,4,100
1722050311.9799,2024-07-26 20:18:31.979,4,100,1.0,4,4,4,4,4,100
1722050312.4799,2024-07-26 20:18:32.479,4,100,1.0,4,4,4,4,4,100
1722050312.9799,2024-07-26 20:18:32.979,4,100,1.0,4,4,4,4,4,100
1722050313.4799,2024-07-26 20:18:33.479,4,100,1.0,4,4,4,4,4,100
1722050313.9799,2024-07-26 20:18:33.979,4,100,1.0,4,4,4,4,4,100
1722050314.4799,2024-07-26 20:18:34.479,4,100,1.0,4,4,4,4,4,100
1722050314.9799,2024-07-26 20:18:34.979,4,100,1.0,4,4,4,4,4,100
1722050315.4799,2024-07-26 20:18:35.479,4,100,1.0,4,4,4,4,4,100
